manufacturer,transmission,fuel_type,cylinders,wheels,msrp,style,model,year,horsepower,doors,market_category,size,highwaympg,citympg,popularity
BMW,AUTOMATIC,premium unleaded (required),8,all wheel drive,97600,Sedan,7 Series,2017,445,4,Luxury,Large,25,16,3916
Audi,AUTOMATIC,premium unleaded (required),8,all wheel drive,106500,Sedan,RS 7,2015,560,4,Factory Tuner,Large,27,16,3105
Mazda,AUTOMATIC,regular unleaded,4,front wheel drive,27970,4dr SUV,CX-5,2015,184,4,Crossover,Midsize,32,25,586
FIAT,AUTOMATIC,premium unleaded (recommended),4,front wheel drive,20885,Convertible,500,2017,101,2,Generic,Compact,33,27,819
FIAT,AUTOMATIC,regular unleaded,4,all wheel drive,23890,4dr SUV,500X,2017,180,4,Crossover,Compact,29,21,819
Nissan,MANUAL,regular unleaded,6,four wheel drive,26300,4dr SUV,Xterra,2014,261,4,Generic,Midsize,20,16,2009
Mitsubishi,AUTOMATIC,regular unleaded,3,front wheel drive,16495,4dr Hatchback,Mirage,2017,78,4,Hatchback,Compact,43,37,436
BMW,AUTOMATIC,premium unleaded (required),8,rear wheel drive,88700,Coupe,6 Series,2016,445,2,Luxury,Midsize,25,17,3916
BMW,AUTOMATIC,premium unleaded (recommended),6,all wheel drive,50300,Sedan,4 Series Gran Coupe,2017,320,4,Luxury,Midsize,31,21,3916
Nissan,MANUAL,regular unleaded,6,four wheel drive,32340,Crew Cab Pickup,Frontier,2017,261,4,Generic,Compact,21,16,2009
Mazda,MANUAL,regular unleaded,4,front wheel drive,23145,Sedan,3,2017,184,4,Performance,Midsize,34,25,586
Mercedes-Benz,AUTOMATIC,premium unleaded (required),6,all wheel drive,39900,4dr SUV,GLK-Class,2015,302,4,Crossover,Midsize,25,18,617
Nissan,AUTOMATIC,regular unleaded,8,four wheel drive,60490,4dr SUV,Armada,2017,390,4,Generic,Large,18,13,2009
Audi,AUTOMATED_MANUAL,premium unleaded (required),4,all wheel drive,51900,Coupe,TTS,2016,292,2,Factory Tuner,Compact,27,23,3105
Nissan,AUTOMATIC,regular unleaded,8,rear wheel drive,41160,Crew Cab Pickup,Titan,2015,317,4,Flex Fuel,Large,18,13,2009
BMW,AUTOMATIC,premium unleaded (required),6,all wheel drive,45750,Sedan,3 Series,2015,300,4,Luxury,Midsize,30,20,3916
BMW,AUTOMATIC,premium unleaded (required),6,all wheel drive,57000,4dr SUV,X5,2016,300,4,Crossover,Midsize,24,18,3916
Nissan,AUTOMATIC,regular unleaded,6,front wheel drive,41560,4dr SUV,Pathfinder,2015,260,4,Crossover,Large,27,20,2009
BMW,AUTOMATIC,premium unleaded (required),6,all wheel drive,84500,Sedan,7 Series,2017,320,4,Luxury,Large,28,19,3916
Mercedes-Benz,AUTOMATIC,premium unleaded (required),4,all wheel drive,54650,Sedan,E-Class,2017,241,4,Luxury,Midsize,29,22,617
Audi,AUTOMATIC,premium unleaded (recommended),4,all wheel drive,44500,Wagon,allroad,2015,220,4,Luxury,Midsize,28,21,3105
Mazda,AUTOMATIC,regular unleaded,4,front wheel drive,22070,Passenger Minivan,5,2013,157,4,Generic,Compact,28,22,586
Audi,AUTOMATIC,premium unleaded (required),4,all wheel drive,51900,4dr SUV,Q5,2015,245,4,Crossover,Midsize,30,24,3105
BMW,AUTOMATIC,premium unleaded (required),6,rear wheel drive,60700,4dr Hatchback,5 Series Gran Turismo,2015,300,4,Hatchback,Large,28,19,3916
Nissan,AUTOMATIC,premium unleaded (required),6,rear wheel drive,39270,Coupe,370Z,2016,332,2,High-Performance,Compact,26,19,2009
Audi,AUTOMATIC,premium unleaded (required),4,front wheel drive,38000,Sedan,A4,2016,220,4,Luxury,Midsize,31,22,3105
Mercedes-Benz,AUTOMATIC,premium unleaded (required),6,all wheel drive,62900,4dr SUV,M-Class,2015,329,4,Crossover,Midsize,22,18,617
Nissan,AUTOMATIC,regular unleaded,8,four wheel drive,52860,4dr SUV,Armada,2014,317,4,Flex Fuel,Large,18,12,2009
Mercedes-Benz,AUTOMATIC,premium unleaded (required),8,all wheel drive,143250,Sedan,S-Class,2016,577,4,Factory Tuner,Large,23,15,617
Nissan,AUTOMATIC,regular unleaded,6,all wheel drive,34220,4dr SUV,Murano,2015,260,4,Crossover,Midsize,28,21,2009
Nissan,AUTOMATIC,premium unleaded (required),6,rear wheel drive,34870,Coupe,370Z,2016,332,2,High-Performance,Compact,26,19,2009
BMW,AUTOMATIC,premium unleaded (required),6,rear wheel drive,46250,Coupe,4 Series,2015,300,2,Luxury,Midsize,32,21,3916
Mercedes-Benz,AUTOMATIC,premium unleaded (required),8,all wheel drive,119450,4dr SUV,GL-Class,2015,550,4,Crossover,Large,17,13,617
BMW,AUTOMATED_MANUAL,premium unleaded (required),8,rear wheel drive,118200,Convertible,M6,2015,560,2,Factory Tuner,Midsize,20,14,3916
Mitsubishi,AUTOMATIC,premium unleaded (recommended),6,all wheel drive,28195,4dr SUV,Outlander,2015,224,4,Crossover,Midsize,28,20,436
FIAT,MANUAL,premium unleaded (recommended),4,front wheel drive,20395,2dr Hatchback,500,2016,101,2,Hatchback,Compact,40,31,819
BMW,AUTOMATIC,premium unleaded (required),6,all wheel drive,57800,4dr SUV,X4,2016,360,4,Crossover,Midsize,25,18,3916
Chrysler,AUTOMATIC,regular unleaded,6,all wheel drive,38095,Sedan,300,2016,300,4,Generic,Large,27,18,1013
Nissan,AUTOMATIC,regular unleaded,8,rear wheel drive,34440,Crew Cab Pickup,Titan,2014,317,4,Flex Fuel,Large,18,13,2009
Mercedes-Benz,AUTOMATIC,premium unleaded (required),6,all wheel drive,53600,4dr SUV,GLE-Class,2016,302,4,Crossover,Midsize,22,17,617
Nissan,AUTOMATIC,regular unleaded,4,all wheel drive,25170,4dr SUV,Rogue,2017,170,4,Crossover,Midsize,32,25,2009
Audi,AUTOMATIC,premium unleaded (required),6,all wheel drive,54800,4dr SUV,Q7,2015,280,4,Crossover,Large,22,16,3105
Mercedes-Benz,AUTOMATIC,premium unleaded (required),8,all wheel drive,76600,Sedan,CLS-Class,2016,402,4,Luxury,Midsize,25,17,617
Audi,AUTOMATIC,premium unleaded (recommended),4,front wheel drive,48350,Sedan,A6,2015,220,4,Luxury,Midsize,33,25,3105
BMW,AUTOMATIC,premium unleaded (required),6,all wheel drive,46150,Coupe,2 Series,2016,320,2,Factory Tuner,Compact,30,20,3916
BMW,AUTOMATIC,diesel,4,all wheel drive,42750,4dr SUV,X3,2017,180,4,Crossover,Midsize,34,27,3916
Volvo,AUTOMATIC,regular unleaded,4,all wheel drive,44200,Sedan,S60 Cross Country,2017,240,4,Luxury,Midsize,30,22,870
Mitsubishi,MANUAL,premium unleaded (required),4,all wheel drive,37995,Sedan,Lancer Evolution,2015,303,4,Factory Tuner,Compact,23,17,436
Nissan,AUTOMATIC,premium unleaded (recommended),4,all wheel drive,26940,4dr Hatchback,Juke,2017,188,4,Crossover,Compact,30,26,2009
Audi,AUTOMATED_MANUAL,premium unleaded (required),10,all wheel drive,179645,Coupe,R8,2014,550,2,Luxury,Compact,22,13,3105
BMW,AUTOMATIC,premium unleaded (required),8,rear wheel drive,91200,Sedan,6 Series Gran Coupe,2017,445,4,Luxury,Large,24,17,3916
Mazda,AUTOMATIC,regular unleaded,4,all wheel drive,24045,4dr SUV,CX-5,2014,155,4,Crossover,Midsize,31,25,586
Nissan,MANUAL,regular unleaded,4,rear wheel drive,22180,Extended Cab Pickup,Frontier,2016,152,4,Generic,Compact,23,19,2009
Audi,AUTOMATIC,premium unleaded (recommended),4,all wheel drive,34600,4dr SUV,Q3,2015,200,4,Crossover,Compact,28,20,3105
Mercedes-Benz,AUTOMATIC,premium unleaded (required),6,all wheel drive,50290,4dr SUV,M-Class,2014,302,4,Crossover,Midsize,22,17,617
Nissan,AUTOMATIC,regular unleaded,6,front wheel drive,32350,Sedan,Altima,2015,270,4,Performance,Midsize,32,22,2009
Mazda,MANUAL,regular unleaded,4,front wheel drive,21795,4dr SUV,CX-5,2016,155,4,Crossover,Midsize,35,26,586
Mercedes-Benz,AUTOMATIC,premium unleaded (required),8,rear wheel drive,73250,Sedan,C-Class,2016,503,4,Factory Tuner,Midsize,25,18,617
Volvo,AUTOMATIC,premium unleaded (recommended),4,front wheel drive,46950,Sedan,S90,2017,250,4,Luxury,Large,34,23,870
Mercedes-Benz,AUTOMATIC,premium unleaded (recommended),4,rear wheel drive,32500,Passenger Minivan,Metris,2016,208,4,Luxury,Compact,23,20,617
Mercedes-Benz,AUTOMATIC,premium unleaded (required),8,all wheel drive,107800,Sedan,CLS-Class,2016,577,4,Factory Tuner,Midsize,22,16,617
Nissan,AUTOMATIC,regular unleaded,8,four wheel drive,45020,Crew Cab Pickup,Titan,2017,390,4,Generic,Large,20,15,2009
Chrysler,AUTOMATIC,flex-fuel (unleaded/E85),6,front wheel drive,29995,Passenger Minivan,Town and Country,2016,283,4,Flex Fuel,Midsize,25,17,1013
Mitsubishi,AUTOMATIC,regular unleaded,4,front wheel drive,21495,4dr Hatchback,Lancer Sportback,2013,168,4,Hatchback,Compact,29,22,436
Chrysler,AUTOMATIC,regular unleaded,6,rear wheel drive,42770,Sedan,300,2017,292,4,Performance,Large,30,19,1013
Volvo,AUTOMATIC,regular unleaded,5,all wheel drive,41150,4dr SUV,XC60,2015,250,4,Crossover,Midsize,25,18,870
BMW,MANUAL,premium unleaded (required),4,rear wheel drive,48950,Convertible,Z4,2015,240,2,Luxury,Compact,34,22,3916
Nissan,AUTOMATIC,regular unleaded,4,all wheel drive,25840,4dr SUV,Rogue,2015,170,4,Crossover,Midsize,32,25,2009
Mazda,AUTOMATIC,regular unleaded,6,all wheel drive,34070,4dr SUV,CX-9,2015,273,4,Crossover,Large,22,16,586
Chrysler,AUTOMATIC,flex-fuel (unleaded/E85),4,front wheel drive,26625,Sedan,200,2015,184,4,Flex Fuel,Midsize,36,23,1013
Nissan,MANUAL,regular unleaded,4,front wheel drive,16900,Wagon,Cube,2014,122,4,Generic,Compact,30,25,2009
Mercedes-Benz,AUTOMATIC,premium unleaded (required),6,all wheel drive,64600,4dr SUV,GLE-Class,2016,329,4,Crossover,Midsize,22,18,617
Audi,AUTOMATED_MANUAL,premium unleaded (required),8,all wheel drive,70900,Coupe,RS 5,2015,450,2,Factory Tuner,Midsize,23,16,3105
Nissan,MANUAL,regular unleaded,6,four wheel drive,27240,Extended Cab Pickup,Frontier,2015,261,4,Generic,Compact,21,16,2009
BMW,AUTOMATIC,premium unleaded (required),6,rear wheel drive,55500,4dr SUV,X5,2017,300,4,Crossover,Midsize,25,18,3916
Nissan,AUTOMATIC,regular unleaded,6,four wheel drive,34840,4dr SUV,Pathfinder,2016,260,4,Crossover,Large,26,19,2009
FIAT,AUTOMATIC,premium unleaded (recommended),4,front wheel drive,20995,Wagon,500L,2017,160,4,Generic,Compact,30,22,819
Nissan,AUTOMATIC,regular unleaded,4,front wheel drive,20150,4dr SUV,Rogue Select,2014,170,4,Crossover,Midsize,28,23,2009
Audi,AUTOMATED_MANUAL,premium unleaded (required),8,all wheel drive,69600,Coupe,RS 5,2014,450,2,Factory Tuner,Midsize,23,16,3105
Mercedes-Benz,AUTOMATIC,premium unleaded (required),12,rear wheel drive,222000,Sedan,S-Class,2015,621,4,Factory Tuner,Large,20,13,617
Mazda,MANUAL,premium unleaded (required),4,front wheel drive,24200,4dr Hatchback,Mazdaspeed 3,2013,263,4,Hatchback,Compact,25,18,586
BMW,AUTOMATIC,premium unleaded (required),6,all wheel drive,47950,4dr SUV,X3,2017,300,4,Crossover,Midsize,26,19,3916
Nissan,AUTOMATIC,regular unleaded,4,all wheel drive,29630,4dr SUV,Rogue,2015,170,4,Crossover,Midsize,32,25,2009
Volvo,AUTOMATIC,regular unleaded,4,all wheel drive,47200,4dr SUV,XC60,2016,302,4,Crossover,Midsize,28,20,870
Nissan,AUTOMATIC,regular unleaded,8,four wheel drive,52550,4dr SUV,Armada,2017,390,4,Generic,Large,18,13,2009
Mazda,MANUAL,regular unleaded,4,front wheel drive,16945,Sedan,3,2015,155,4,Generic,Compact,41,29,586
Audi,MANUAL,premium unleaded (required),6,all wheel drive,53100,Coupe,S5,2016,333,2,Factory Tuner,Midsize,26,17,3105
Mitsubishi,AUTOMATIC,regular unleaded,3,front wheel drive,14095,4dr Hatchback,Mirage,2015,74,4,Hatchback,Compact,44,37,436
Mazda,MANUAL,premium unleaded (recommended),4,rear wheel drive,24915,Convertible,MX-5 Miata,2016,155,2,Performance,Compact,34,27,586
Mercedes-Benz,AUTOMATIC,premium unleaded (required),4,rear wheel drive,40575,Sedan,C-Class,2015,241,4,Luxury,Midsize,34,25,617
Mazda,MANUAL,regular unleaded,4,front wheel drive,14720,4dr Hatchback,2,2014,100,4,Hatchback,Compact,35,29,586
Chrysler,AUTOMATIC,flex-fuel (unleaded/E85),6,all wheel drive,30900,Sedan,200,2017,295,4,Flex Fuel,Midsize,28,18,1013
Volvo,AUTOMATIC,regular unleaded,6,all wheel drive,49200,Wagon,V60,2016,325,4,Luxury,Midsize,27,18,870
Nissan,MANUAL,regular unleaded,4,front wheel drive,16530,Sedan,Sentra,2015,130,4,Generic,Midsize,36,27,2009
Audi,MANUAL,premium unleaded (required),4,all wheel drive,39100,Sedan,A4,2016,220,4,Luxury,Midsize,32,22,3105
BMW,AUTOMATIC,premium unleaded (required),8,all wheel drive,97900,Convertible,6 Series,2015,445,2,Luxury,Midsize,24,16,3916
Mitsubishi,AUTOMATIC,regular unleaded,4,front wheel drive,22795,4dr SUV,Outlander Sport,2015,148,4,Crossover,Compact,32,25,436
Nissan,AUTOMATIC,regular unleaded,8,four wheel drive,53680,4dr SUV,Armada,2015,317,4,Generic,Large,18,12,2009
Audi,MANUAL,premium unleaded (required),4,all wheel drive,43800,Sedan,A4,2015,220,4,Luxury,Midsize,32,22,3105
Mitsubishi,AUTOMATIC,regular unleaded,4,all wheel drive,21995,Sedan,Lancer,2016,168,4,Generic,Compact,31,23,436
Nissan,MANUAL,regular unleaded,6,four wheel drive,29700,Crew Cab Pickup,Frontier,2017,261,4,Generic,Compact,21,16,2009
Audi,AUTOMATED_MANUAL,premium unleaded (required),8,all wheel drive,68900,Coupe,RS 5,2013,450,2,Factory Tuner,Midsize,23,16,3105
Mercedes-Benz,AUTOMATED_MANUAL,premium unleaded (required),4,all wheel drive,48500,Sedan,CLA-Class,2015,355,4,Factory Tuner,Midsize,31,23,617
Mitsubishi,AUTOMATIC,regular unleaded,4,all wheel drive,26995,4dr SUV,Outlander,2016,166,4,Crossover,Midsize,29,24,436
Audi,AUTOMATIC,premium unleaded (recommended),4,all wheel drive,49200,Wagon,allroad,2014,220,4,Luxury,Midsize,27,20,3105
Nissan,MANUAL,regular unleaded,6,four wheel drive,31840,Crew Cab Pickup,Frontier,2016,261,4,Generic,Compact,21,16,2009
BMW,AUTOMATIC,premium unleaded (required),4,rear wheel drive,40750,Coupe,4 Series,2015,240,2,Luxury,Midsize,35,23,3916
Audi,AUTOMATED_MANUAL,premium unleaded (recommended),4,front wheel drive,36600,Convertible,A3,2016,170,2,Luxury,Compact,35,24,3105
Nissan,AUTOMATIC,regular unleaded,6,front wheel drive,32690,Sedan,Altima,2016,270,4,Performance,Midsize,32,22,2009
Audi,AUTOMATED_MANUAL,premium unleaded (recommended),4,all wheel drive,48000,Sedan,A4,2017,252,4,Luxury,Midsize,31,24,3105
Mazda,AUTOMATIC,regular unleaded,4,front wheel drive,18895,Sedan,3,2017,155,4,Generic,Midsize,37,28,586
Mercedes-Benz,AUTOMATIC,premium unleaded (required),4,all wheel drive,42575,Sedan,C-Class,2015,241,4,Luxury,Midsize,27,19,617
Nissan,AUTOMATIC,regular unleaded,6,all wheel drive,40600,4dr SUV,Murano,2015,260,4,Crossover,Midsize,28,21,2009
BMW,AUTOMATIC,premium unleaded (required),6,rear wheel drive,61900,Sedan,ActiveHybrid 5,2015,335,4,Luxury,Large,30,23,3916
Audi,AUTOMATIC,diesel,6,all wheel drive,73050,Sedan,A7,2016,240,4,Diesel,Large,35,24,3105
BMW,DIRECT_DRIVE,electric,0,rear wheel drive,42400,4dr Hatchback,i3,2016,170,4,Hatchback,Compact,111,137,3916
Mercedes-Benz,AUTOMATIC,diesel,4,all wheel drive,39400,4dr SUV,GLK-Class,2015,200,4,Crossover,Midsize,33,24,617
Mercedes-Benz,AUTOMATED_MANUAL,premium unleaded (required),4,all wheel drive,48300,4dr SUV,GLA-Class,2015,355,4,Crossover,Compact,29,23,617
Mercedes-Benz,AUTOMATIC,premium unleaded (required),6,all wheel drive,68490,Sedan,CLS-Class,2015,329,4,Luxury,Midsize,28,20,617
Volvo,AUTOMATIC,regular unleaded,6,all wheel drive,42700,Sedan,S60,2015,325,4,Factory Tuner,Midsize,28,19,870
BMW,AUTOMATIC,premium unleaded (required),4,all wheel drive,40500,4dr SUV,X3,2015,240,4,Crossover,Midsize,28,21,3916
Nissan,AUTOMATIC,premium unleaded (recommended),6,front wheel drive,34590,Sedan,Maxima,2017,300,4,High-Performance,Midsize,30,21,2009
Nissan,AUTOMATIC,regular unleaded,6,rear wheel drive,23660,4dr SUV,Xterra,2015,261,4,Generic,Midsize,22,16,2009
BMW,AUTOMATIC,premium unleaded (required),8,all wheel drive,98800,4dr SUV,X5 M,2016,567,4,Crossover,Midsize,19,14,3916
Chrysler,AUTOMATIC,flex-fuel (unleaded/E85),6,front wheel drive,31465,Passenger Minivan,Town and Country,2015,283,4,Flex Fuel,Midsize,25,17,1013
Chrysler,AUTOMATIC,flex-fuel (unleaded/E85),6,front wheel drive,37345,Passenger Minivan,Town and Country,2016,283,4,Flex Fuel,Midsize,25,17,1013
FIAT,AUTOMATIC,regular unleaded,4,all wheel drive,25235,4dr SUV,500X,2017,180,4,Crossover,Compact,29,21,819
BMW,AUTOMATIC,premium unleaded (required),4,front wheel drive,33100,4dr SUV,X1,2017,228,4,Crossover,Compact,32,23,3916
Nissan,AUTOMATIC,premium unleaded (recommended),6,front wheel drive,34490,Sedan,Maxima,2016,300,4,High-Performance,Midsize,30,22,2009
BMW,MANUAL,premium unleaded (required),6,rear wheel drive,63500,Sedan,M3,2016,425,4,Factory Tuner,Midsize,26,17,3916
Volvo,AUTOMATIC,regular unleaded,5,all wheel drive,45650,4dr SUV,XC60,2016,250,4,Crossover,Midsize,26,19,870
Nissan,AUTOMATIC,regular unleaded,6,front wheel drive,26450,Sedan,Altima,2015,270,4,Performance,Midsize,32,22,2009
Nissan,AUTOMATIC,regular unleaded,6,front wheel drive,33140,4dr SUV,Pathfinder,2015,260,4,Crossover,Large,27,20,2009
Audi,AUTOMATIC,flex-fuel (premium unleaded recommended/E85),4,all wheel drive,40900,4dr SUV,Q5,2017,220,4,Crossover,Midsize,27,20,3105
Volvo,AUTOMATIC,regular unleaded,5,all wheel drive,44650,Wagon,V60 Cross Country,2015,250,4,Crossover,Midsize,28,20,870
Mazda,AUTOMATIC,premium unleaded (recommended),4,rear wheel drive,29265,Convertible,MX-5 Miata,2014,158,2,Performance,Compact,28,21,586
Chrysler,AUTOMATIC,regular unleaded,6,all wheel drive,45270,Sedan,300,2017,292,4,Generic,Large,27,18,1013
Nissan,AUTOMATIC,regular unleaded,6,four wheel drive,31200,4dr SUV,Pathfinder,2015,260,4,Crossover,Large,26,19,2009
BMW,AUTOMATIC,premium unleaded (required),6,rear wheel drive,79500,Sedan,6 Series Gran Coupe,2016,315,4,Luxury,Large,31,20,3916
Audi,AUTOMATED_MANUAL,diesel,4,front wheel drive,42050,Sedan,A3,2016,150,4,Diesel,Compact,43,31,3105
BMW,AUTOMATIC,premium unleaded (required),4,all wheel drive,39500,Sedan,3 Series,2015,240,4,Luxury,Midsize,33,22,3916
Volvo,AUTOMATIC,regular unleaded,5,all wheel drive,41200,Wagon,V60 Cross Country,2016,250,4,Crossover,Midsize,28,20,870
Nissan,AUTOMATIC,regular unleaded,8,four wheel drive,47800,4dr SUV,Armada,2017,390,4,Generic,Large,18,13,2009
Audi,AUTOMATED_MANUAL,premium unleaded (recommended),4,all wheel drive,42300,Convertible,A3,2016,220,2,Luxury,Compact,32,23,3105
Audi,AUTOMATED_MANUAL,premium unleaded (recommended),4,front wheel drive,38700,Sedan,A4,2017,190,4,Luxury,Midsize,37,27,3105
BMW,AUTOMATIC,premium unleaded (required),4,rear wheel drive,38500,4dr SUV,X3,2015,240,4,Crossover,Midsize,28,21,3916
Chrysler,AUTOMATIC,flex-fuel (unleaded/E85),4,front wheel drive,25690,Sedan,200,2017,184,4,Flex Fuel,Midsize,36,23,1013
Audi,AUTOMATIC,premium unleaded (required),4,all wheel drive,40900,4dr SUV,Q5,2016,220,4,Crossover,Midsize,28,20,3105
FIAT,MANUAL,premium unleaded (recommended),4,front wheel drive,16845,2dr Hatchback,500,2015,101,2,Hatchback,Compact,40,31,819
Volvo,AUTOMATIC,regular unleaded,6,all wheel drive,43850,4dr SUV,XC60,2015,300,4,Crossover,Midsize,24,17,870
BMW,AUTOMATIC,premium unleaded (required),4,rear wheel drive,33150,Sedan,3 Series,2016,180,4,Luxury,Midsize,36,24,3916
BMW,AUTOMATIC,premium unleaded (required),4,all wheel drive,40650,Convertible,2 Series,2016,240,2,Luxury,Compact,34,22,3916
BMW,AUTOMATIC,premium unleaded (required),8,all wheel drive,71400,4dr Hatchback,5 Series Gran Turismo,2015,445,4,Hatchback,Large,24,16,3916
Nissan,AUTOMATIC,regular unleaded,6,rear wheel drive,25200,Extended Cab Pickup,Frontier,2017,261,4,Generic,Compact,23,16,2009
Audi,AUTOMATED_MANUAL,premium unleaded (recommended),4,all wheel drive,38600,Convertible,A3,2015,220,2,Luxury,Compact,32,23,3105
Audi,AUTOMATED_MANUAL,premium unleaded (recommended),4,front wheel drive,34400,Sedan,A3,2016,170,4,Luxury,Compact,33,23,3105
Nissan,AUTOMATIC,premium unleaded (recommended),4,all wheel drive,27230,4dr Hatchback,Juke,2017,188,4,Crossover,Compact,30,26,2009
Nissan,AUTOMATIC,regular unleaded,4,rear wheel drive,22160,Extended Cab Pickup,Frontier,2017,152,4,Generic,Compact,22,17,2009
Nissan,AUTOMATIC,regular unleaded,6,front wheel drive,37130,4dr SUV,Murano,2017,260,4,Crossover,Midsize,28,21,2009
Nissan,AUTOMATIC,regular unleaded,6,four wheel drive,26750,Crew Cab Pickup,Frontier,2016,261,4,Generic,Compact,21,15,2009
Mitsubishi,AUTOMATIC,regular unleaded,4,four wheel drive,22695,4dr SUV,Outlander Sport,2015,168,4,Crossover,Compact,26,23,436
Mazda,MANUAL,regular unleaded,4,front wheel drive,22745,Sedan,3,2015,155,4,Generic,Compact,41,29,586
Nissan,AUTOMATIC,regular unleaded,4,front wheel drive,23820,4dr SUV,Rogue,2017,170,4,Crossover,Midsize,33,26,2009
Mercedes-Benz,AUTOMATIC,premium unleaded (required),4,rear wheel drive,39500,Sedan,C-Class,2017,241,4,Luxury,Midsize,34,24,617
Nissan,AUTOMATIC,regular unleaded,4,rear wheel drive,23910,Extended Cab Pickup,Frontier,2017,152,4,Generic,Compact,22,17,2009
Volvo,AUTOMATIC,regular unleaded,4,front wheel drive,36800,Sedan,S60,2016,240,4,Luxury,Midsize,38,26,870
Audi,AUTOMATED_MANUAL,premium unleaded (required),8,all wheel drive,138400,Convertible,R8,2015,430,2,Luxury,Compact,23,14,3105
Nissan,AUTOMATIC,regular unleaded,8,four wheel drive,32490,Extended Cab Pickup,Titan,2015,317,4,Flex Fuel,Large,17,12,2009
Audi,AUTOMATED_MANUAL,premium unleaded (recommended),4,front wheel drive,47600,Sedan,A6,2017,252,4,Luxury,Midsize,34,24,3105
Nissan,AUTOMATIC,regular unleaded,8,four wheel drive,43810,4dr SUV,Armada,2015,317,4,Generic,Large,18,12,2009
Mercedes-Benz,AUTOMATIC,premium unleaded (required),8,rear wheel drive,60650,Coupe,E-Class,2017,402,2,Luxury,Midsize,26,18,617
Nissan,MANUAL,premium unleaded (required),6,rear wheel drive,48100,Convertible,370Z,2015,332,2,High-Performance,Compact,24,17,2009
Mercedes-Benz,AUTOMATIC,premium unleaded (required),12,rear wheel drive,247900,Convertible,S-Class,2017,621,2,Factory Tuner,Large,21,14,617
Nissan,AUTOMATIC,premium unleaded (required),4,all wheel drive,30020,4dr Hatchback,Juke,2015,211,4,Crossover,Compact,29,25,2009
FIAT,MANUAL,premium unleaded (recommended),4,front wheel drive,26695,Convertible,500,2016,160,2,Factory Tuner,Compact,34,28,819
BMW,AUTOMATIC,premium unleaded (recommended),4,all wheel drive,35150,Coupe,2 Series,2017,248,2,Luxury,Compact,33,24,3916
Nissan,MANUAL,regular unleaded,6,rear wheel drive,22700,Crew Cab Pickup,Frontier,2015,261,4,Generic,Compact,22,16,2009
Nissan,AUTOMATIC,regular unleaded,6,four wheel drive,35590,Crew Cab Pickup,Frontier,2016,261,4,Generic,Compact,21,15,2009
Audi,AUTOMATED_MANUAL,premium unleaded (required),6,all wheel drive,54100,Coupe,S5,2016,333,2,Factory Tuner,Midsize,28,18,3105
Mercedes-Benz,AUTOMATIC,premium unleaded (required),6,all wheel drive,52000,Sedan,C-Class,2017,362,4,Factory Tuner,Midsize,29,21,617
Mazda,AUTOMATIC,regular unleaded,4,front wheel drive,24295,4dr Hatchback,3,2015,155,4,Hatchback,Compact,40,30,586
Nissan,AUTOMATIC,regular unleaded,6,rear wheel drive,26630,Crew Cab Pickup,Frontier,2017,261,4,Generic,Compact,23,16,2009
Mercedes-Benz,AUTOMATIC,premium unleaded (required),8,all wheel drive,100600,Sedan,E-Class,2015,577,4,Factory Tuner,Midsize,22,15,617
Nissan,AUTOMATIC,regular unleaded,4,rear wheel drive,23020,Extended Cab Pickup,Frontier,2015,152,4,Generic,Compact,23,17,2009
Volvo,AUTOMATIC,regular unleaded,4,front wheel drive,39650,4dr SUV,XC60,2015,240,4,Crossover,Midsize,31,24,870
Volvo,AUTOMATIC,regular unleaded,4,front wheel drive,35400,Wagon,XC70,2015,240,4,Crossover,Midsize,31,24,870
Chrysler,AUTOMATIC,flex-fuel (unleaded/E85),6,front wheel drive,40645,Passenger Minivan,Town and Country,2016,283,4,Flex Fuel,Midsize,25,17,1013
Mercedes-Benz,AUTOMATED_MANUAL,premium unleaded (required),8,rear wheel drive,275000,Coupe,SLS AMG GT,2014,622,2,Exotic,Compact,17,13,617
Audi,AUTOMATED_MANUAL,premium unleaded (recommended),4,all wheel drive,48450,Convertible,A3,2016,220,2,Luxury,Compact,32,23,3105
BMW,AUTOMATIC,premium unleaded (required),8,all wheel drive,71500,4dr SUV,X5,2016,445,4,Crossover,Midsize,21,15,3916
Nissan,MANUAL,premium unleaded (required),6,rear wheel drive,37970,Coupe,370Z,2017,332,2,High-Performance,Compact,26,18,2009
Audi,AUTOMATED_MANUAL,premium unleaded (required),4,all wheel drive,48700,Coupe,TTS,2015,265,2,Factory Tuner,Compact,31,22,3105
Nissan,AUTOMATIC,premium unleaded (required),6,rear wheel drive,46790,Coupe,370Z,2017,350,2,Factory Tuner,Compact,26,19,2009
BMW,AUTOMATIC,premium unleaded (required),8,all wheel drive,102200,4dr SUV,X6 M,2017,567,4,Crossover,Midsize,19,14,3916
BMW,AUTOMATIC,premium unleaded (recommended),4,rear wheel drive,33450,Sedan,3 Series,2017,180,4,Luxury,Midsize,35,23,3916
Mitsubishi,AUTOMATIC,regular unleaded,3,front wheel drive,15195,4dr Hatchback,Mirage,2014,74,4,Hatchback,Compact,44,37,436
BMW,AUTOMATED_MANUAL,premium unleaded (required),8,rear wheel drive,92900,Sedan,M5,2014,552,4,Factory Tuner,Large,20,14,3916
Nissan,AUTOMATIC,regular unleaded,8,rear wheel drive,31940,Extended Cab Pickup,Titan,2015,317,4,Flex Fuel,Large,18,13,2009
